tablename,primaryKey,referenceTablename,foreignKey
,,,
landonline_encumbrance,id,landonline_encumbrance_share,enc_id
landonline_encumbrance,id,landonline_title_encumbrance,enc_id
landonline_encumbrance,id,nz_title_encumbrance_shares_vw,encumbrance_id
,,,
landonline_encumbrancee,ens_id,landonline_encumbrance_share,id
landonline_encumbrancee,ens_id,nz_title_encumbrance_shares_vw,encumbrancee_id
,,,
landonline_title_memorial,id,landonline_title_memorial_text,ttm_id
landonline_title_memorial,id,nz_title_memorials_additional_text_list,ttm_id
,,,
linz_managed_crown_property,napalis_id,linz_managed_crown_property_to_parcel_association,napalis_id
,,,
nz_addresses,address_id,nz_properties_property_address_reference,address_id
nz_addresses,address_id,properties_buildings_vw,address_id
nz_addresses,address_id,properties_details_vw,address_id
,,,
nz_addresses_roads,road_id,nz_addresses,road_id
nz_addresses_roads,road_id,nz_addresses_road_sections,road_id
,,,
nz_building_outlines_all_sources,building_id,nz_properties_property_building_reference,building_id
nz_building_outlines_all_sources,building_id,properties_buildings_vw,building_id
,,,
nz_linear_parcels,id,nz_title_parcel_association_list,par_id
,,,
nz_non_primary_linear_parcels,id,nz_title_parcel_association_list,par_id
,,,
nz_non_primary_parcels,id,nz_title_parcel_association_list,par_id
,,,
nz_parcels,id,nz_title_parcel_association_list,par_id
nz_parcels,id,nz_primary_land_parcels,id
nz_parcels,id,nz_primary_road_parcels,id
nz_parcels,id,nz_primary_hydro_parcels,id
nz_parcels,id,properties_details_vw,parcel_id
,,,
nz_primary_hydro_parcels,id,nz_title_parcel_association_list,par_id
,,,
nz_primary_land_parcels,id,linz_managed_crown_property_to_parcel_association,parcel_id
nz_primary_land_parcels,id,nz_property_boundaries,parcel_id
nz_primary_land_parcels,id,nz_title_parcel_association_list,par_id
nz_primary_land_parcels,id,protected_areas_to_parcel_association,parcel_id
nz_primary_land_parcels,id,nz_parcel_owners_list_vw,parcel_id
nz_primary_land_parcels,id,nz_parcel_owners_vw,parcel_id
nz_primary_land_parcels,id,nz_parcel_titles_vw,parcel_id
nz_primary_land_parcels,id,properties_details_vw,parcel_id
,,,
nz_primary_road_parcels,id,nz_title_parcel_association_list,par_id
,,,
nz_properties_unit_of_property,unit_of_property_id,nz_properties_national_district_valuation_roll,unit_of_property_id
nz_properties_unit_of_property,unit_of_property_id,nz_properties_parent_property,unit_of_property_id
nz_properties_unit_of_property,unit_of_property_id,nz_properties_parent_property,parent_unit_of_property_id
nz_properties_unit_of_property,unit_of_property_id,nz_properties_perspective,unit_of_property_id
nz_properties_unit_of_property,unit_of_property_id,nz_properties_property_address_reference,unit_of_property_id
nz_properties_unit_of_property,unit_of_property_id,nz_properties_property_building_reference,unit_of_property_id
nz_properties_unit_of_property,unit_of_property_id,nz_properties_property_title_reference,unit_of_property_id
nz_properties_unit_of_property,unit_of_property_id,properties_buildings_vw,unit_of_property_id
nz_properties_unit_of_property,unit_of_property_id,properties_details_vw,unit_of_property_id
nz_properties_unit_of_property,unit_of_property_id,properties_details_vw,parent_unit_of_property_id
nz_properties_unit_of_property,unit_of_property_id,properties_details_vw,child_unit_of_property_id
nz_properties_unit_of_property,unit_of_property_id,properties_valuation_details_vw,unit_of_property_id
nz_properties_unit_of_property,unit_of_property_id,nz_property_boundaries,unit_of_property_id
,,,
nz_property_titles,title_no,landonline_title_encumbrance,ttl_title_no
nz_property_titles,title_no,landonline_title_memorial,ttl_title_no
nz_property_titles,title_no,nz_properties_property_title_reference,title_no
nz_property_titles,title_no,nz_property_boundaries,title_no
nz_property_titles,title_no,nz_property_titles_list,title_no
nz_property_titles,title_no,nz_property_title_estates_list,title_no
nz_property_titles,title_no,nz_title_parcel_association_list,title_no
nz_property_titles,title_no,nz_title_encumbrances_vw,title_no
nz_property_titles,title_no,nz_title_owners_vw,title_no
nz_property_titles,title_no,nz_parcel_titles_vw,title_no
nz_property_titles,title_no,nz_parcel_owners_vw,title_no
nz_property_titles,title_no,nz_parcel_titles_vw,title_no
nz_property_titles,title_no,properties_buildings_vw,title_no
nz_property_titles,title_no,properties_details_vw,title_no
,,,
nz_property_titles_list,title_no,landonline_title_encumbrance,ttl_title_no
nz_property_titles_list,title_no,landonline_title_memorial,ttl_title_no
nz_property_titles_list,title_no,nz_properties_property_title_reference,title_no
nz_property_titles_list,title_no,nz_property_boundaries,title_no
nz_property_titles_list,title_no,nz_property_title_estates_list,title_no
nz_property_titles_list,title_no,nz_title_parcel_association_list,title_no
nz_property_titles_list,title_no,nz_title_encumbrances_vw,title_no
nz_property_titles_list,title_no,nz_title_owners_vw,title_no
nz_property_titles_list,title_no,nz_parcel_owners_vw,title_no
nz_property_titles_list,title_no,nz_parcel_titles_vw,title_no
nz_property_titles_list,title_no,properties_buildings_vw,title_no
nz_property_titles_list,title_no,properties_details_vw,title_no
,,,
nz_property_titles_owners_list,tte_id,nz_property_title_estates_list,id
nz_property_titles_owners_list,id,nz_parcel_owners_vw,owner_id
nz_property_titles_owners_list,id,nz_title_owners_vw,owner_id
,,,
nz_roads_organisation,organisation_id,nz_properties_perspective,organisation_id
nz_roads_organisation,organisation_id,properties_details_vw,organisation_id
,,,
protected_areas,napalis_id,protected_areas_to_parcel_association,napalis_id
